gating_distance_sq,process_noise_pos,measurement_noise,active_tracks,total_alignment_samples,mean_alignment_rad,mean_alignment_deg,total_misaligned,misalignment_ratio
16.00,0.0500,0.1000,18,47,0.175239,10.0404,4,0.085106
16.00,0.0500,0.2000,5,51,0.061798,3.5408,0,0.000000
16.00,0.0500,0.3000,7,44,0.114723,6.5731,1,0.022727
16.00,0.0500,0.4000,6,46,0.128179,7.3441,1,0.021739
16.00,0.0500,0.5000,7,56,0.136664,7.8303,3,0.053571
16.00,0.1500,0.1000,7,30,0.078913,4.5214,0,0.000000
16.00,0.1500,0.2000,6,46,0.062439,3.5775,0,0.000000
16.00,0.1500,0.3000,5,52,0.205384,11.7676,4,0.076923
16.00,0.1500,0.4000,5,44,0.101963,5.8421,1,0.022727
16.00,0.1500,0.5000,5,61,0.124920,7.1574,2,0.032787
16.00,0.2500,0.1000,6,44,0.158411,9.0763,2,0.045455
16.00,0.2500,0.2000,5,58,0.255468,14.6372,4,0.068966
16.00,0.2500,0.3000,5,47,0.067717,3.8799,0,0.000000
16.00,0.2500,0.4000,5,59,0.255661,14.6483,4,0.067797
16.00,0.2500,0.5000,7,53,0.130575,7.4814,2,0.037736
16.00,0.3500,0.1000,5,46,0.160299,9.1844,1,0.021739
16.00,0.3500,0.2000,6,52,0.123515,7.0769,2,0.038462
16.00,0.3500,0.3000,6,56,0.121196,6.9440,1,0.017857
16.00,0.3500,0.4000,6,58,0.297008,17.0173,5,0.086207
16.00,0.3500,0.5000,5,35,0.452096,25.9032,7,0.200000
16.00,0.4500,0.1000,6,39,0.103645,5.9384,1,0.025641
16.00,0.4500,0.2000,4,58,0.320130,18.3421,5,0.086207
16.00,0.4500,0.3000,6,44,0.072007,4.1257,0,0.000000
16.00,0.4500,0.4000,7,37,0.084694,4.8526,1,0.027027
16.00,0.4500,0.5000,5,57,0.335990,19.2508,6,0.105263
24.00,0.0500,0.1000,6,47,0.157955,9.0502,2,0.042553
24.00,0.0500,0.2000,8,50,0.127862,7.3259,1,0.020000
24.00,0.0500,0.3000,7,44,0.071176,4.0781,0,0.000000
24.00,0.0500,0.4000,7,52,0.189501,10.8576,3,0.057692
24.00,0.0500,0.5000,7,40,0.072421,4.1494,1,0.025000
24.00,0.1500,0.1000,6,50,0.149257,8.5518,1,0.020000
24.00,0.1500,0.2000,5,44,0.057518,3.2956,0,0.000000
24.00,0.1500,0.3000,6,49,0.152380,8.7307,2,0.040816
24.00,0.1500,0.4000,5,57,0.120299,6.8926,2,0.035088
24.00,0.1500,0.5000,5,51,0.103463,5.9280,2,0.039216
24.00,0.2500,0.1000,5,52,0.157194,9.0065,1,0.019231
24.00,0.2500,0.2000,7,47,0.094250,5.4001,0,0.000000
24.00,0.2500,0.3000,6,53,0.220451,12.6309,5,0.094340
24.00,0.2500,0.4000,5,55,0.077701,4.4520,0,0.000000
24.00,0.2500,0.5000,5,44,0.081348,4.6609,1,0.022727
24.00,0.3500,0.1000,6,48,0.155225,8.8937,1,0.020833
24.00,0.3500,0.2000,5,51,0.104810,6.0052,0,0.000000
24.00,0.3500,0.3000,6,36,0.064610,3.7019,0,0.000000
24.00,0.3500,0.4000,6,56,0.265453,15.2094,4,0.071429
24.00,0.3500,0.5000,5,51,0.152027,8.7105,3,0.058824
24.00,0.4500,0.1000,6,45,0.143298,8.2104,1,0.022222
24.00,0.4500,0.2000,5,61,0.176004,10.0843,3,0.049180
24.00,0.4500,0.3000,5,66,0.213345,12.2237,5,0.075758
24.00,0.4500,0.4000,6,52,0.087705,5.0251,0,0.000000
24.00,0.4500,0.5000,6,44,0.111868,6.4095,0,0.000000
32.00,0.0500,0.1000,6,58,0.259207,14.8515,5,0.086207
32.00,0.0500,0.2000,5,56,0.140098,8.0270,2,0.035714
32.00,0.0500,0.3000,6,57,0.257529,14.7553,4,0.070175
32.00,0.0500,0.4000,5,47,0.054458,3.1202,0,0.000000
32.00,0.0500,0.5000,6,48,0.058662,3.3611,0,0.000000
32.00,0.1500,0.1000,5,53,0.091299,5.2311,0,0.000000
32.00,0.1500,0.2000,6,46,0.118825,6.8082,1,0.021739
32.00,0.1500,0.3000,6,65,0.132216,7.5754,1,0.015385
32.00,0.1500,0.4000,7,53,0.148746,8.5225,2,0.037736
32.00,0.1500,0.5000,6,48,0.150071,8.5984,3,0.062500
32.00,0.2500,0.1000,6,47,0.162447,9.3075,2,0.042553
32.00,0.2500,0.2000,5,46,0.149938,8.5908,3,0.065217
32.00,0.2500,0.3000,6,46,0.064004,3.6672,0,0.000000
32.00,0.2500,0.4000,6,51,0.154798,8.8693,2,0.039216
32.00,0.2500,0.5000,5,43,0.086570,4.9601,1,0.023256
32.00,0.3500,0.1000,5,42,0.109193,6.2563,1,0.023810
32.00,0.3500,0.2000,5,49,0.091534,5.2445,0,0.000000
32.00,0.3500,0.3000,7,51,0.098341,5.6345,0,0.000000
32.00,0.3500,0.4000,6,45,0.113702,6.5146,1,0.022222
32.00,0.3500,0.5000,6,42,0.076487,4.3824,1,0.023810
32.00,0.4500,0.1000,5,27,0.143312,8.2112,1,0.037037
32.00,0.4500,0.2000,6,51,0.153301,8.7835,2,0.039216
32.00,0.4500,0.3000,6,40,0.077105,4.4178,0,0.000000
32.00,0.4500,0.4000,6,38,0.067050,3.8417,0,0.000000
32.00,0.4500,0.5000,6,58,0.309467,17.7312,5,0.086207
40.00,0.0500,0.1000,5,54,0.101734,5.8289,1,0.018519
40.00,0.0500,0.2000,6,35,0.056894,3.2598,0,0.000000
40.00,0.0500,0.3000,6,57,0.197166,11.2968,4,0.070175
40.00,0.0500,0.4000,5,52,0.068764,3.9399,1,0.019231
