noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.250000,0,2025-09-23T20:39:13.916093-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,1,2025-09-23T20:39:15.917587-07:00,580000,264896,23621,1636,7,0,0,0,0,0,0,186,0,407872,97443,261,4,0,0,0,0,0,580186,264896,431493,99079,268,4,0,0,0,0,0,0.999679,1.000000,0.054742,0.016512,0.026119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,2,2025-09-23T20:39:17.921257-07:00,1158073,527969,61053,3832,14,0,0,0,0,0,0,369,0,806300,194191,524,4,0,0,0,0,0,1158442,527969,867353,198023,538,4,0,0,0,0,0,0.999681,1.000000,0.070390,0.019351,0.026022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,3,2025-09-23T20:39:19.922746-07:00,1730461,793239,107038,5638,19,0,0,0,0,0,0,537,0,1200267,290720,782,4,0,0,0,0,0,1730998,793239,1307305,296358,801,4,0,0,0,0,0,0.999690,1.000000,0.081877,0.019024,0.023720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,4,2025-09-23T20:39:21.924654-07:00,2310979,1054237,149229,7508,28,0,0,0,0,0,0,678,0,1593956,387191,1043,4,0,0,0,0,0,2311657,1054237,1743185,394699,1071,4,0,0,0,0,0,0.999707,1.000000,0.085607,0.019022,0.026144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,5,2025-09-23T20:39:23.926772-07:00,2892047,1314079,192689,9474,42,0,0,0,0,0,0,829,0,1987308,483582,1300,4,0,0,0,0,0,2892876,1314079,2179997,493056,1342,4,0,0,0,0,0,0.999713,1.000000,0.088390,0.019215,0.031297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,6,2025-09-23T20:39:25.928393-07:00,3470605,1578366,232709,12189,66,0,0,0,0,0,0,1010,0,2380302,579563,1544,4,0,0,0,0,0,3471615,1578366,2613011,591752,1610,4,0,0,0,0,0,0.999709,1.000000,0.089058,0.020598,0.040994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,7,2025-09-23T20:39:27.937118-07:00,3872795,1773970,264555,14304,84,0,0,0,0,0,0,1143,0,2674510,651397,1723,4,0,0,0,0,0,3873938,1773970,2939065,665701,1807,4,0,0,0,0,0,0.999705,1.000000,0.090013,0.021487,0.046486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,8,2025-09-23T20:39:29.938783-07:00,4388035,2020125,304777,17481,113,0,0,0,0,0,0,1279,0,3024121,741564,1951,4,0,0,0,0,0,4389314,2020125,3328898,759045,2064,4,0,0,0,0,0,0.999709,1.000000,0.091555,0.023030,0.054748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,9,2025-09-23T20:39:31.941299-07:00,4967597,2283339,346133,20137,140,0,0,0,0,0,0,1409,0,3416343,837507,2195,4,0,0,0,0,0,4969006,2283339,3762476,857644,2335,4,0,0,0,0,0,0.999716,1.000000,0.091996,0.023479,0.059957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,10,2025-09-23T20:39:33.943675-07:00,5531816,2536991,387926,22550,164,0,0,0,0,0,0,1541,0,3787671,929160,2430,4,0,0,0,0,0,5533357,2536991,4175597,951710,2594,4,0,0,0,0,0,0.999722,1.000000,0.092903,0.023694,0.063223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,11,2025-09-23T20:39:35.946705-07:00,6064395,2781765,435080,24878,191,0,0,0,0,0,0,1677,0,4155946,1019923,2659,4,0,0,0,0,0,6066072,2781765,4591026,1044801,2850,4,0,0,0,0,0,0.999724,1.000000,0.094767,0.023811,0.067018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,12,2025-09-23T20:39:37.94788-07:00,6634952,3042532,484125,27463,220,0,0,0,0,0,0,1808,1,4543071,1115544,2897,4,0,0,0,0,0,6636760,3042533,5027196,1143007,3117,4,0,0,0,0,0,0.999728,1.000000,0.096301,0.024027,0.070581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,13,2025-09-23T20:39:39.949473-07:00,7214948,3303185,533081,29913,244,0,0,0,0,0,0,1939,2,4930172,1211128,3141,4,0,0,0,0,0,7216887,3303187,5463253,1241041,3385,4,0,0,0,0,0,0.999731,0.999999,0.097576,0.024103,0.072083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,14,2025-09-23T20:39:41.950444-07:00,7794030,3565486,581037,32462,273,0,0,0,0,0,0,2073,5,5317248,1306698,3384,4,0,0,0,0,0,7796103,3565491,5898285,1339160,3657,4,0,0,0,0,0,0.999734,0.999999,0.098509,0.024241,0.074651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,15,2025-09-23T20:39:43.951467-07:00,8374544,3826128,628729,35038,301,0,0,0,0,0,0,2270,11,5704278,1402526,3623,4,0,0,0,0,0,8376814,3826139,6333007,1437564,3924,4,0,0,0,0,0,0.999729,0.999997,0.099278,0.024373,0.076707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,16,2025-09-23T20:39:45.953897-07:00,8956301,4078038,686280,37786,329,0,0,0,0,0,0,2498,15,6089454,1498469,3857,4,0,0,0,0,0,8958799,4078053,6775734,1536255,4186,4,0,0,0,0,0,0.999721,0.999996,0.101285,0.024596,0.078595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,17,2025-09-23T20:39:47.956738-07:00,9508068,4314368,747611,40710,358,0,0,0,0,0,0,2681,21,6453195,1589368,4083,4,0,0,0,0,0,9510749,4314389,7200806,1630078,4441,4,0,0,0,0,0,0.999718,0.999995,0.103823,0.024974,0.080612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,18,2025-09-23T20:39:49.95809-07:00,10086884,4577781,798828,43425,389,0,0,0,0,0,0,2929,26,6835829,1684996,4321,4,0,0,0,0,0,10089813,4577807,7634657,1728421,4710,4,0,0,0,0,0,0.999710,0.999994,0.104632,0.025124,0.082590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,19,2025-09-23T20:39:51.959719-07:00,10666663,4840943,850110,46134,415,0,0,0,0,0,0,3067,29,7218480,1780710,4567,4,0,0,0,0,0,10669730,4840972,8068590,1826844,4982,4,0,0,0,0,0,0.999713,0.999994,0.105360,0.025253,0.083300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,20,2025-09-23T20:39:53.961248-07:00,11245608,5103760,902051,48858,440,0,0,0,0,0,0,3202,32,7601141,1876459,4807,4,0,0,0,0,0,11248810,5103792,8503192,1925317,5247,4,0,0,0,0,0,0.999715,0.999994,0.106084,0.025377,0.083857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,21,2025-09-23T20:39:56.025421-07:00,11854610,5370730,964370,52265,467,0,0,0,0,0,0,3393,38,8002778,1976950,5062,4,0,0,0,0,0,11858003,5370768,8967148,2029215,5529,4,0,0,0,0,0,0.999714,0.999993,0.107545,0.025756,0.084464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,22,2025-09-23T20:39:58.028896-07:00,12382704,5593015,1042424,58135,495,0,0,0,0,0,0,3709,49,8362341,2067915,5300,4,0,0,0,0,0,12386413,5593064,9404765,2126050,5795,4,0,0,0,0,0,0.999701,0.999991,0.110840,0.027344,0.085418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,23,2025-09-23T20:40:00.032768-07:00,12958046,5841030,1111896,62829,524,0,0,0,0,0,0,4921,59,8744108,2163573,5536,4,0,0,0,0,0,12962967,5841089,9856004,2226402,6060,4,0,0,0,0,0,0.999620,0.999990,0.112814,0.028220,0.086469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,24,2025-09-23T20:40:02.033496-07:00,13522787,6105902,1163798,67156,557,0,0,0,0,0,0,16344,135,9125956,2259398,5768,4,0,0,0,0,0,13539131,6106037,10289754,2326554,6325,4,0,0,0,0,0,0.998793,0.999978,0.113103,0.028865,0.088063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
