noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.000000,0,2025-09-23T20:15:51.979023-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,2025-09-23T20:15:53.980689-07:00,294140,0,0,0,0,0,0,0,0,0,0,262192,232759,22865,5102,14,0,0,0,0,0,0,556332,232759,22865,5102,14,0,0,0,0,0,0,0.528713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,2,2025-09-23T20:15:56.162884-07:00,472625,0,0,0,0,0,0,0,0,0,0,415767,370757,22893,5127,14,0,0,0,0,0,0,888392,370757,22893,5127,14,0,0,0,0,0,0,0.532001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3,2025-09-23T20:15:58.184566-07:00,749401,40,0,0,0,0,0,0,0,0,0,656726,591668,45427,10222,28,0,0,0,0,0,0,1406127,591708,45427,10222,28,0,0,0,0,0,0,0.532954,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,4,2025-09-23T20:16:00.186832-07:00,1027863,145,0,0,0,0,0,0,0,0,0,894787,800961,45479,10266,28,0,0,0,0,0,0,1922650,801106,45479,10266,28,0,0,0,0,0,0,0.534607,0.000181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5,2025-09-23T20:16:02.187915-07:00,1320060,249,0,0,0,0,0,0,0,0,0,1149907,1030890,45489,10269,28,0,0,0,0,0,0,2469967,1031139,45489,10269,28,0,0,0,0,0,0,0.534444,0.000241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,6,2025-09-23T20:16:04.219929-07:00,1620784,362,0,0,0,0,0,0,0,0,0,1409161,1262767,68027,15356,42,0,0,0,0,0,0,3029945,1263129,68027,15356,42,0,0,0,0,0,0,0.534922,0.000287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,7,2025-09-23T20:16:06.22906-07:00,1913779,473,0,0,0,0,0,0,0,0,0,1664353,1492751,68061,15380,42,0,0,0,0,0,0,3578132,1493224,68061,15380,42,0,0,0,0,0,0,0.534854,0.000317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,8,2025-09-23T20:16:08.231655-07:00,2215260,595,0,0,0,0,0,0,0,0,0,1923089,1724746,90559,20444,56,0,0,0,0,0,0,4138349,1725341,90559,20444,56,0,0,0,0,0,0,0.535300,0.000345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,9,2025-09-23T20:16:10.233366-07:00,2517169,695,0,0,0,0,0,0,0,0,0,2181910,1954966,90607,20496,56,0,0,0,0,0,0,4699079,1955661,90607,20496,56,0,0,0,0,0,0,0.535673,0.000355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,10,2025-09-23T20:16:12.23512-07:00,2819133,821,0,0,0,0,0,0,0,0,0,2440419,2185131,90624,20501,56,0,0,0,0,0,0,5259552,2185952,90624,20501,56,0,0,0,0,0,0,0.536002,0.000376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
