noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.310000,0,2025-09-23T21:07:45.667004-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,1,2025-09-23T21:07:47.668952-07:00,563797,264243,434512,99119,10,0,0,0,0,0,0,3894,273,57,90,266,0,0,0,0,0,0,567691,264516,434569,99209,276,0,0,0,0,0,0,0.993141,0.998968,0.999869,0.999093,0.036232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,2,2025-09-23T21:07:49.670525-07:00,1136357,526685,874966,197180,19,0,0,0,0,0,0,5357,1226,216,179,524,0,0,0,0,0,0,1141714,527911,875182,197359,543,0,0,0,0,0,0,0.995308,0.997678,0.999753,0.999093,0.034991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,3,2025-09-23T21:07:51.676251-07:00,1707812,788609,1315067,295201,45,0,0,0,0,0,0,8566,1941,315,270,762,0,0,0,0,0,0,1716378,790550,1315382,295471,807,0,0,0,0,0,0,0.995009,0.997545,0.999761,0.999086,0.055762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,4,2025-09-23T21:07:53.677899-07:00,2278701,1050840,1754711,393334,72,0,0,0,0,0,0,12375,2636,393,360,998,0,0,0,0,0,0,2291076,1053476,1755104,393694,1070,0,0,0,0,0,0,0.994599,0.997498,0.999776,0.999086,0.067290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,5,2025-09-23T21:07:55.679398-07:00,2847889,1313899,2195140,491519,124,0,0,0,0,0,0,15902,3416,509,450,1217,0,0,0,0,0,0,2863791,1317315,2195649,491969,1341,0,0,0,0,0,0,0.994447,0.997407,0.999768,0.999085,0.092468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,6,2025-09-23T21:07:57.680882-07:00,3416790,1577057,2635841,589765,185,0,0,0,0,0,0,19266,4294,635,534,1433,0,0,0,0,0,0,3436056,1581351,2636476,590299,1618,0,0,0,0,0,0,0.994393,0.997285,0.999759,0.999095,0.114339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,7,2025-09-23T21:07:59.682624-07:00,3985470,1840766,3076588,687988,236,0,0,0,0,0,0,22345,5319,781,624,1644,0,0,0,0,0,0,4007815,1846085,3077369,688612,1880,0,0,0,0,0,0,0.994425,0.997119,0.999746,0.999094,0.125532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,8,2025-09-23T21:08:01.685467-07:00,4554368,2104565,3517073,786215,288,0,0,0,0,0,0,25380,6324,923,710,1858,0,0,0,0,0,0,4579748,2110889,3517996,786925,2146,0,0,0,0,0,0,0.994458,0.997004,0.999738,0.999098,0.134203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,9,2025-09-23T21:08:03.687883-07:00,5026195,2328811,3891876,869771,333,0,0,0,0,0,0,27819,7250,1048,783,2040,0,0,0,0,0,0,5054014,2336061,3892924,870554,2373,0,0,0,0,0,0,0.994496,0.996896,0.999731,0.999101,0.140329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,10,2025-09-23T21:08:05.690754-07:00,5595332,2592414,4332454,968004,388,0,0,0,0,0,0,30753,8308,1187,870,2253,0,0,0,0,0,0,5626085,2600722,4333641,968874,2641,0,0,0,0,0,0,0.994534,0.996806,0.999726,0.999102,0.146914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
