noise_relative,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0,2661416,1407252,2324896,369554,680,0,0,0,0,0,227,11771,15864,6795,24,0,0,0,0,0,2661643,1419023,2340760,376349,704,0,0,0,0,0,0.999914714332463,0.991704856087604,0.9932227139903279,0.981944950033081,0.9659090909090909,0,0,0,0,0
0.005,2628601,1362003,2337598,454729,1300,0,0,0,0,0,212,589,18165,5287,12,0,0,0,0,0,2628813,1362592,2355763,460016,1312,0,0,0,0,0,0.999919355237516,0.999567735609779,0.9922891224626585,0.9885069214983827,0.9908536585365854,0,0,0,0,0
0.01,2638132,1361703,2337167,506545,1310,0,0,0,0,0,206,608,16758,6195,5,0,0,0,0,0,2638338,1362311,2353925,512740,1315,0,0,0,0,0,0.999921920542402,0.9995536995590582,0.9928808267043342,0.9879178531029371,0.9961977186311787,0,0,0,0,0
0.015,2637524,1361639,2339715,443121,1290,0,0,0,0,0,212,499,16935,8360,5,0,0,0,0,0,2637736,1362138,2356650,451481,1295,0,0,0,0,0,0.9999196280446565,0.9996336641368202,0.9928139520081471,0.9814831631895916,0.9961389961389961,0,0,0,0,0
0.02,2559408,1332510,2290797,496119,1262,0,0,0,0,0,234,394,13884,6743,7,0,0,0,0,0,2559642,1332904,2304681,502862,1269,0,0,0,0,0,0.9999085809656194,0.9997044048183515,0.9939757389417451,0.9865907545211211,0.9944838455476753,0,0,0,0,0
0.025,2637632,1361671,2339892,506233,1302,0,0,0,0,0,201,371,13955,6573,7,0,0,0,0,0,2637833,1362042,2353847,512806,1309,0,0,0,0,0,0.9999238010897581,0.9997276148606283,0.9940714073599516,0.9871822872587295,0.9946524064171123,0,0,0,0,0
0.030000000000000002,2637952,1361643,2340377,460322,1295,0,0,0,0,0,218,385,15546,8384,5,0,0,0,0,0,2638170,1362028,2355923,468706,1300,0,0,0,0,0,0.9999173669627052,0.9997173332706817,0.9934013123518892,0.9821124542890426,0.9961538461538462,0,0,0,0,0
0.035,2634239,1362510,2340962,506871,1282,0,0,0,0,0,210,316,13467,6621,8,0,0,0,0,0,2634449,1362826,2354429,513492,1290,0,0,0,0,0,0.9999202869366611,0.9997681288733852,0.9942801418093304,0.9871059334906873,0.993798449612403,0,0,0,0,0
0.04,2637179,1362448,2340966,507258,1293,0,0,0,0,0,240,274,13228,6424,8,0,0,0,0,0,2637419,1362722,2354194,513682,1301,0,0,0,0,0,0.9999090019447042,0.9997989318437657,0.9943810917876776,0.9874942084791758,0.9938508839354343,0,0,0,0,0
0.045,2637889,1363532,2341112,507274,1272,0,0,0,0,0,308,278,13154,6548,13,0,0,0,0,0,2638197,1363810,2354266,513822,1285,0,0,0,0,0,0.9998832536008494,0.9997961592890505,0.9944126959315558,0.9872562871967335,0.9898832684824903,0,0,0,0,0
